Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,最高温度,最低温度,AQI,风向,降水量,天气
Jet Airways,06-03,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,14924,38℃,29℃,0,西北风2级,0.0,晴多云
Multiple carriers,05-21,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1 stop,No info,9646,43℃,33℃,0,西北风3级,0.0,晴多云
Jet Airways,05-18,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373,40℃,29℃,0,西北风3级,0.0,多云晴
Multiple carriers,03-21,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13062,25℃,16℃,0,东北风2级,0.0,多云晴
Jet Airways,06-27,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150,39℃,29℃,0,东风2级,4.83,多云雨
Jet Airways,03-09,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202,31℃,20℃,0,东南风2级,0.0,多云晴
Multiple carriers,05-06,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073,37℃,28℃,0,西北风2级,0.0,多云晴
Air India,04-03,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,1 stop,No info,5117,35℃,22℃,0,北风2级,0.0,晴多云
Multiple carriers,06-03,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,12524,38℃,29℃,0,西北风2级,0.0,晴多云
IndiGo,05-15,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,1 stop,No info,7191,41℃,32℃,0,西风3级,0.0,晴
IndiGo,06-24,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,41℃,33℃,0,东南风2级,0.0,雨
Air India,05-21,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,10861,43℃,33℃,0,西北风3级,0.0,晴多云
Multiple carriers,06-24,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791,41℃,33℃,0,东南风2级,0.0,雨
Jet Airways,06-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,13h 30m,2 stops,No info,12819,41℃,33℃,0,东南风2级,0.0,雨
IndiGo,03-21,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5h,1 stop,No info,6893,25℃,16℃,0,东北风2级,0.0,多云晴
Jet Airways,06-15,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,10262,40℃,32℃,0,西北风3级,0.0,多云
IndiGo,06-27,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,5894,39℃,29℃,0,东风2级,4.83,多云雨
Multiple carriers,05-18,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,10197,40℃,29℃,0,西北风3级,0.0,多云晴
IndiGo,06-24,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5636,41℃,33℃,0,东南风2级,0.0,雨
Jet Airways,06-06,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 07 Jun,18h 45m,2 stops,No info,13014,39℃,30℃,0,北风2级,0.0,晴
Multiple carriers,05-27,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1 stop,No info,9646,37℃,24℃,0,东南风3级,0.0,雨
Multiple carriers,03-06,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11h 5m,1 stop,No info,17057,32℃,19℃,0,西风3级,0.0,晴
Air India,03-06,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,13748,32℃,19℃,0,西风3级,0.0,晴
Jet Airways,06-12,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 13 Jun,16h 35m,2 stops,No info,14300,41℃,34℃,0,西北风3级,0.0,晴
Jet Airways,06-24,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262,41℃,33℃,0,东南风2级,0.0,雨
Jet Airways,05-18,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029,40℃,29℃,0,西北风3级,0.0,多云晴
Multiple carriers,03-27,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1 stop,No info,11421,31℃,20℃,0,西北风2级,0.0,晴多云
Multiple carriers,03-27,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14h 30m,1 stop,No info,7574,31℃,20℃,0,西北风2级,0.0,晴多云
Air India,05-09,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 May,30h 20m,2 stops,No info,11596,38℃,27℃,0,西北风2级,0.0,晴
Jet Airways,05-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 25 May,19h 55m,2 stops,No info,15129,39℃,24℃,0,西南风3级,1.5,多云雨
Jet Airways,03-06,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Mar,10h 10m,1 stop,No info,17024,32℃,19℃,0,西风3级,0.0,晴
GoAir,06-27,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,5281,39℃,29℃,0,东风2级,4.83,多云雨
Multiple carriers,05-18,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1 stop,No info,10348,40℃,29℃,0,西北风3级,0.0,多云晴
Air India,03-06,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 07 Mar,16h 5m,1 stop,No info,12677,32℃,19℃,0,西风3级,0.0,晴
Multiple carriers,03-03,Delhi,Cochin,DEL → BOM → COK,15:25,01:35 04 Mar,10h 10m,1 stop,No info,15147,33℃,20℃,0,西风2级,0.0,多云晴
Jet Airways,05-09,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,15554,38℃,27℃,0,西北风2级,0.0,晴
Air India,03-01,Delhi,Cochin,DEL → BOM → COK,23:00,19:15 02 Mar,20h 15m,1 stop,No info,27430,33℃,19℃,0,北风2级,0.0,晴
Jet Airways,06-15,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 16 Jun,16h 55m,1 stop,In-flight meal not included,10262,40℃,32℃,0,西北风3级,0.0,多云
Vistara,05-12,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216,41℃,30℃,0,西南风2级,0.0,晴
Multiple carriers,05-21,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 22 May,14h,1 stop,No info,14067,43℃,33℃,0,西北风3级,0.0,晴多云
Jet Airways,05-18,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 19 May,23h 50m,2 stops,No info,15129,40℃,29℃,0,西北风3级,0.0,多云晴
Jet Airways,06-06,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 07 Jun,21h 40m,2 stops,No info,13376,39℃,30℃,0,北风2级,0.0,晴
Air India,06-27,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 28 Jun,21h 15m,2 stops,No info,10441,39℃,29℃,0,东风2级,4.83,多云雨
Jet Airways,03-03,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,No info,17024,33℃,20℃,0,西风2级,0.0,多云晴
Multiple carriers,04-09,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 10 Apr,8h,1 stop,No info,13017,36℃,24℃,0,西北风2级,0.0,晴
IndiGo,06-15,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5636,40℃,32℃,0,西北风3级,0.0,多云
IndiGo,06-09,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No info,6442,41℃,33℃,0,西风3级,0.11,晴雨
Multiple carriers,05-21,Delhi,Cochin,DEL → HYD → COK,13:05,00:55 22 May,11h 50m,1 stop,No info,9486,43℃,33℃,0,西北风3级,0.0,晴多云
Jet Airways,06-03,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25 04 Jun,8h 25m,2 stops,In-flight meal not included,15318,38℃,29℃,0,西北风2级,0.0,晴多云
Air India,04-03,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 04 Apr,20h 55m,1 stop,No info,5117,35℃,22℃,0,北风2级,0.0,晴多云
IndiGo,06-24,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1 stop,No info,6147,41℃,33℃,0,东南风2级,0.0,雨
Multiple carriers,06-09,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,No info,7005,41℃,33℃,0,西风3级,0.11,晴雨
Jet Airways,03-21,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,18:50 22 Mar,24h 25m,2 stops,In-flight meal not included,9270,25℃,16℃,0,东北风2级,0.0,多云晴
Jet Airways,06-27,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 28 Jun,16h 35m,2 stops,No info,14300,39℃,29℃,0,东风2级,4.83,多云雨
Jet Airways,03-06,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 07 Mar,26h 10m,1 stop,No info,17024,32℃,19℃,0,西风3级,0.0,晴
IndiGo,05-09,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,6442,38℃,27℃,0,西北风2级,0.0,晴
SpiceJet,06-12,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5264,41℃,34℃,0,西北风3级,0.0,晴
Jet Airways,05-27,Delhi,Cochin,DEL → BOM → COK,13:00,04:25 28 May,15h 25m,1 stop,In-flight meal not included,12898,37℃,24℃,0,东南风3级,0.0,雨
Jet Airways,03-27,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 28 Mar,9h 10m,1 stop,In-flight meal not included,6540,31℃,20℃,0,西北风2级,0.0,晴多云
Jet Airways,04-03,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 04 Apr,22h 35m,1 stop,In-flight meal not included,5177,35℃,22℃,0,北风2级,0.0,晴多云
Air India,04-18,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,non-stop,No info,8246,40℃,31℃,0,西风2级,0.0,多云
Multiple carriers,06-27,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1 stop,No info,13587,39℃,29℃,0,东风2级,4.83,多云雨
IndiGo,04-03,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 04 Apr,5h 5m,1 stop,No info,5073,35℃,22℃,0,北风2级,0.0,晴多云
Multiple carriers,05-21,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,14277,43℃,33℃,0,西北风3级,0.0,晴多云
Jet Airways,06-01,Delhi,Cochin,DEL → BOM → COK,10:00,04:25 02 Jun,18h 25m,1 stop,In-flight meal not included,10262,37℃,26℃,0,西北风3级,3.07,晴雨
Multiple carriers,05-15,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 16 May,9h 30m,1 stop,No info,13727,41℃,32℃,0,西风3级,0.0,晴
SpiceJet,06-24,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,4812,41℃,33℃,0,东南风2级,0.0,雨
IndiGo,06-27,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 28 Jun,5h 45m,1 stop,No info,5775,39℃,29℃,0,东风2级,4.83,多云雨
Air India,03-27,Delhi,Cochin,DEL → TRV → COK,05:15,06:50 28 Mar,25h 35m,1 stop,No info,7165,31℃,20℃,0,西北风2级,0.0,晴多云
IndiGo,06-24,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,6h 20m,1 stop,No info,6412,41℃,33℃,0,东南风2级,0.0,雨
Jet Airways,06-24,Delhi,Cochin,DEL → BOM → COK,09:00,04:25 25 Jun,19h 25m,1 stop,In-flight meal not included,10262,41℃,33℃,0,东南风2级,0.0,雨
Multiple carriers,03-27,Delhi,Cochin,DEL → BOM → COK,07:05,15:30,8h 25m,1 stop,No info,12537,31℃,20℃,0,西北风2级,0.0,晴多云
IndiGo,04-24,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,5013,35℃,24℃,0,东风2级,0.0,多云晴
Air India,05-18,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,6934,40℃,29℃,0,西北风3级,0.0,多云晴
Multiple carriers,06-03,Delhi,Cochin,DEL → BOM → COK,06:40,19:00,12h 20m,1 stop,No info,10877,38℃,29℃,0,西北风2级,0.0,晴多云
IndiGo,03-27,Delhi,Cochin,DEL → BOM → COK,16:00,01:35 28 Mar,9h 35m,1 stop,No info,7048,31℃,20℃,0,西北风2级,0.0,晴多云
Jet Airways,05-18,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 20 May,29h 20m,2 stops,No info,15129,40℃,29℃,0,西北风3级,0.0,多云晴
SpiceJet,06-06,Delhi,Cochin,DEL → MAA → COK,06:05,11:20,5h 15m,1 stop,No info,5583,39℃,30℃,0,北风2级,0.0,晴
Multiple carriers,06-06,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,9646,39℃,30℃,0,北风2级,0.0,晴
Multiple carriers,06-03,Delhi,Cochin,DEL → BOM → COK,08:30,19:15,10h 45m,1 stop,No info,7677,38℃,29℃,0,西北风2级,0.0,晴多云
IndiGo,06-01,Delhi,Cochin,DEL → BLR → COK,05:10,10:05,4h 55m,1 stop,No info,6842,37℃,26℃,0,西北风3级,3.07,晴雨
Multiple carriers,06-09,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,12192,41℃,33℃,0,西风3级,0.11,晴雨
Air India,06-12,Delhi,Cochin,DEL → BOM → COK,09:00,19:15,10h 15m,1 stop,No info,8372,41℃,34℃,0,西北风3级,0.0,晴
Multiple carriers,05-09,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,14323,38℃,27℃,0,西北风2级,0.0,晴
Jet Airways,06-09,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 10 Jun,22h 55m,2 stops,No info,13014,41℃,33℃,0,西风3级,0.11,晴雨
Air India,06-06,Delhi,Cochin,DEL → CCU → BOM → COK,14:25,19:15 07 Jun,28h 50m,2 stops,No info,13591,39℃,30℃,0,北风2级,0.0,晴
Jet Airways,03-03,Delhi,Cochin,DEL → IDR → BOM → COK,05:25,18:50 04 Mar,37h 25m,2 stops,No info,18799,33℃,20℃,0,西风2级,0.0,多云晴
Air India,05-18,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,10191,40℃,29℃,0,西北风3级,0.0,多云晴
Jet Airways,03-09,Delhi,Cochin,DEL → BOM → COK,02:15,19:45,17h 30m,1 stop,In-flight meal not included,13843,31℃,20℃,0,东南风2级,0.0,多云晴
IndiGo,05-01,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 May,5h 45m,1 stop,No info,6349,26℃,21℃,0,东风3级,0.2,雨阴
Jet Airways,03-06,Delhi,Cochin,DEL → BOM → COK,18:15,19:45 07 Mar,25h 30m,1 stop,No info,17024,32℃,19℃,0,西风3级,0.0,晴
Multiple carriers,05-18,Delhi,Cochin,DEL → BOM → COK,07:05,21:00,13h 55m,1 stop,No info,13727,40℃,29℃,0,西北风3级,0.0,多云晴
Multiple carriers,06-24,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,12524,41℃,33℃,0,东南风2级,0.0,雨
Multiple carriers,06-09,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13587,41℃,33℃,0,西风3级,0.11,晴雨
Jet Airways,06-09,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 10 Jun,9h 10m,1 stop,In-flight meal not included,10577,41℃,33℃,0,西风3级,0.11,晴雨
IndiGo,05-15,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,6979,41℃,32℃,0,西风3级,0.0,晴
SpiceJet,06-06,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5264,39℃,30℃,0,北风2级,0.0,晴
Vistara,03-03,Delhi,Cochin,DEL → COK,06:00,09:10,3h 10m,non-stop,No info,8001,33℃,20℃,0,西风2级,0.0,多云晴
Air India,06-01,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 02 Jun,23h 30m,2 stops,No info,10651,37℃,26℃,0,西北风3级,3.07,晴雨
Multiple carriers,03-27,Delhi,Cochin,DEL → HYD → COK,09:45,22:20,12h 35m,1 stop,No info,6601,31℃,20℃,0,西北风2级,0.0,晴多云
Air India,03-21,Delhi,Cochin,DEL → BOM → COK,19:00,19:15 22 Mar,24h 15m,1 stop,No info,6587,25℃,16℃,0,东北风2级,0.0,多云晴
Jet Airways,06-06,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,14714,39℃,30℃,0,北风2级,0.0,晴
Jet Airways,06-03,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,No info,13014,38℃,29℃,0,西北风2级,0.0,晴多云
IndiGo,03-09,Delhi,Cochin,DEL → HYD → COK,04:55,16:10,11h 15m,1 stop,No info,6171,31℃,20℃,0,东南风2级,0.0,多云晴
Multiple carriers,03-21,Delhi,Cochin,DEL → BOM → COK,11:40,01:35 22 Mar,13h 55m,1 stop,No info,7695,25℃,16℃,0,东北风2级,0.0,多云晴
IndiGo,06-24,Delhi,Cochin,DEL → BOM → COK,11:25,01:30 25 Jun,14h 5m,1 stop,No info,5684,41℃,33℃,0,东南风2级,0.0,雨
Multiple carriers,06-12,Delhi,Cochin,DEL → HYD → COK,07:10,16:10,9h,1 stop,No info,6513,41℃,34℃,0,西北风3级,0.0,晴
Air India,06-01,Delhi,Cochin,DEL → BOM → COK,07:00,19:15,12h 15m,1 stop,No info,9929,37℃,26℃,0,西北风3级,3.07,晴雨
Multiple carriers,06-06,Delhi,Cochin,DEL → IXU → BOM → COK,17:50,01:30 07 Jun,7h 40m,2 stops,No info,18275,39℃,30℃,0,北风2级,0.0,晴
Air India,04-09,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 10 Apr,27h 20m,1 stop,No info,4487,36℃,24℃,0,西北风2级,0.0,晴
Air India,03-09,Delhi,Cochin,DEL → BLR → COK,20:30,08:15 10 Mar,11h 45m,1 stop,No info,8991,31℃,20℃,0,东南风2级,0.0,多云晴
IndiGo,06-24,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,5000,41℃,33℃,0,东南风2级,0.0,雨
Air India,03-03,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Mar,27h 20m,1 stop,No info,14042,33℃,20℃,0,西风2级,0.0,多云晴
Multiple carriers,05-27,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 28 May,8h,1 stop,In-flight meal not included,7308,37℃,24℃,0,东南风3级,0.0,雨
Jet Airways,06-24,Delhi,Cochin,DEL → BOM → COK,09:00,12:35 25 Jun,27h 35m,1 stop,In-flight meal not included,10262,41℃,33℃,0,东南风2级,0.0,雨
Jet Airways,05-27,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 28 May,7h 30m,1 stop,In-flight meal not included,12898,37℃,24℃,0,东南风3级,0.0,雨
IndiGo,03-03,Delhi,Cochin,DEL → BOM → COK,04:45,13:20,8h 35m,1 stop,No info,14871,33℃,20℃,0,西风2级,0.0,多云晴
Air India,03-21,Delhi,Cochin,DEL → UDR → BOM → COK,13:20,19:15 22 Mar,29h 55m,2 stops,No info,8708,25℃,16℃,0,东北风2级,0.0,多云晴
Multiple carriers,06-06,Delhi,Cochin,DEL → BOM → COK,07:30,19:15,11h 45m,1 stop,No info,9001,39℃,30℃,0,北风2级,0.0,晴
Jet Airways,06-06,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 07 Jun,22h 55m,2 stops,In-flight meal not included,10368,39℃,30℃,0,北风2级,0.0,晴
IndiGo,03-09,Delhi,Cochin,DEL → HYD → MAA → COK,06:40,21:20,14h 40m,2 stops,No info,8146,31℃,20℃,0,东南风2级,0.0,多云晴
Jet Airways,03-27,Delhi,Cochin,DEL → BOM → COK,13:00,04:25 28 Mar,15h 25m,1 stop,No info,12242,31℃,20℃,0,西北风2级,0.0,晴多云
Air India,06-06,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,09:25 07 Jun,20h 10m,2 stops,No info,10939,39℃,30℃,0,北风2级,0.0,晴
Air India,06-06,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,07:40 07 Jun,20h 45m,2 stops,No info,11753,39℃,30℃,0,北风2级,0.0,晴
Jet Airways,06-03,Delhi,Cochin,DEL → BOM → COK,16:00,19:00 04 Jun,27h,1 stop,No info,14714,38℃,29℃,0,西北风2级,0.0,晴多云
IndiGo,03-03,Delhi,Cochin,DEL → BOM → COK,09:10,21:00,11h 50m,1 stop,No info,14871,33℃,20℃,0,西风2级,0.0,多云晴
Air India,06-06,Delhi,Cochin,DEL → JAI → BOM → COK,18:45,19:15 07 Jun,24h 30m,2 stops,No info,13465,39℃,30℃,0,北风2级,0.0,晴
Multiple carriers,06-27,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 28 Jun,6h 30m,1 stop,No info,7198,39℃,29℃,0,东风2级,4.83,多云雨
Jet Airways,06-01,Delhi,Cochin,DEL → BOM → COK,08:00,04:25 02 Jun,20h 25m,1 stop,In-flight meal not included,10262,37℃,26℃,0,西北风3级,3.07,晴雨
Jet Airways,06-09,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 10 Jun,5h 35m,1 stop,In-flight meal not included,10262,41℃,33℃,0,西风3级,0.11,晴雨
Jet Airways,05-27,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 28 May,25h 30m,1 stop,No info,16079,37℃,24℃,0,东南风3级,0.0,雨
Jet Airways,05-27,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 28 May,5h 35m,1 stop,In-flight meal not included,12898,37℃,24℃,0,东南风3级,0.0,雨
Multiple carriers,03-06,Delhi,Cochin,DEL → BOM → COK,07:30,19:15,11h 45m,1 stop,No info,15353,32℃,19℃,0,西风3级,0.0,晴
IndiGo,03-21,Delhi,Cochin,DEL → HYD → COK,14:20,22:20,8h,1 stop,No info,6528,25℃,16℃,0,东北风2级,0.0,多云晴
Jet Airways,04-09,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,12:35 10 Apr,23h 10m,2 stops,No info,9483,36℃,24℃,0,西北风2级,0.0,晴
Jet Airways,06-03,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,No info,18804,38℃,29℃,0,西北风2级,0.0,晴多云
Air India,06-18,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,5201,37℃,30℃,0,南风2级,4.28,雨
Jet Airways,05-27,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,No info,16079,37℃,24℃,0,东南风3级,0.0,雨
Multiple carriers,05-27,Delhi,Cochin,DEL → BOM → COK,17:45,01:30 28 May,7h 45m,1 stop,No info,6795,37℃,24℃,0,东南风3级,0.0,雨
Multiple carriers,06-24,Delhi,Cochin,DEL → IDR → BOM → COK,15:05,01:30 25 Jun,10h 25m,2 stops,No info,15965,41℃,33℃,0,东南风2级,0.0,雨
Air India,04-09,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 Apr,30h 20m,2 stops,No info,9968,36℃,24℃,0,西北风2级,0.0,晴
Jet Airways,05-27,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,16079,37℃,24℃,0,东南风3级,0.0,雨
Jet Airways,06-12,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 13 Jun,15h 10m,2 stops,In-flight meal not included,11507,41℃,34℃,0,西北风3级,0.0,晴
IndiGo,05-15,Delhi,Cochin,DEL → BLR → COK,05:10,10:05,4h 55m,1 stop,No info,6496,41℃,32℃,0,西风3级,0.0,晴
Jet Airways,03-27,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 28 Mar,10h 10m,1 stop,In-flight meal not included,6540,31℃,20℃,0,西北风2级,0.0,晴多云
Air Asia,03-21,Delhi,Cochin,DEL → BLR → COK,20:10,07:10 22 Mar,11h,1 stop,No info,6151,25℃,16℃,0,东北风2级,0.0,多云晴
Jet Airways,06-24,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 25 Jun,22h 35m,1 stop,In-flight meal not included,10262,41℃,33℃,0,东南风2级,0.0,雨
Air India,05-15,Delhi,Cochin,DEL → TRV → COK,05:15,06:50 16 May,25h 35m,1 stop,No info,8425,41℃,32℃,0,西风3级,0.0,晴
