Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,最高温度,最低温度,AQI,风向,降水量,天气
6,31,0,0,7,43,275,5,0,3,8266,13,16,0,8,0.0,4
1,23,0,0,13,109,291,145,1,3,12392,12,11,0,8,0.0,1
4,24,0,0,7,27,76,106,0,1,12898,14,15,0,8,0.0,5
4,6,0,0,7,150,75,218,0,3,12242,0,0,0,0,0.0,1
4,23,0,0,19,129,226,78,1,3,13014,12,11,0,8,0.0,1
6,2,0,0,7,57,252,250,0,3,15411,4,3,0,13,0.0,4
4,3,0,0,7,130,255,128,0,3,16289,3,4,0,1,0.0,1
3,22,0,0,14,25,245,260,0,3,6442,13,14,0,13,0.0,4
4,29,0,0,7,46,257,0,0,3,14714,11,12,0,5,0.0,4
6,22,0,0,7,64,275,242,0,3,14323,13,14,0,13,0.0,4
6,20,0,0,7,56,306,12,0,3,13727,10,9,0,7,0.0,4
4,23,0,0,7,130,269,122,0,1,12373,12,11,0,8,0.0,1
6,1,0,0,14,28,245,257,0,1,8552,5,4,0,12,0.0,1
9,15,0,0,9,90,249,197,3,3,6741,9,8,0,5,0.0,1
6,12,0,0,7,73,275,228,0,3,6481,8,7,0,7,0.0,4
6,29,0,0,7,59,275,252,0,3,7354,11,12,0,5,0.0,4
3,23,0,0,14,25,210,215,0,3,6347,12,11,0,8,0.0,1
1,35,0,0,8,105,294,148,1,3,13381,13,15,0,1,0.0,7
4,30,0,0,7,27,257,20,0,1,10262,13,15,0,13,0.11,6
1,27,0,0,11,61,275,248,1,3,13013,9,8,0,8,3.07,6
4,36,0,0,0,127,229,75,1,3,15339,11,11,0,3,4.83,3
3,29,0,0,14,10,210,244,0,3,6818,11,12,0,5,0.0,4
1,23,0,0,11,148,291,105,1,3,10441,12,11,0,8,0.0,1
4,10,0,0,7,83,257,212,0,1,5177,7,6,0,5,0.0,5
6,32,0,0,7,57,22,57,0,3,6795,12,14,0,8,0.0,0
6,28,0,0,7,32,275,18,0,3,9736,10,11,0,7,0.0,5
8,16,0,0,6,117,315,211,0,3,4957,7,7,0,3,0.0,1
6,30,0,0,7,126,19,229,0,3,7408,13,15,0,13,0.11,6
0,1,0,0,6,103,311,217,0,3,13774,5,4,0,12,0.0,1
4,6,0,0,29,121,77,185,1,3,13082,0,0,0,0,0.0,1
1,28,0,0,7,5,275,60,0,3,8669,10,11,0,7,0.0,5
3,35,0,0,7,99,27,262,0,3,6316,13,15,0,1,0.0,7
4,2,0,0,7,149,62,234,0,1,12583,4,3,0,13,0.0,4
2,1,0,0,7,26,231,221,0,3,7378,5,4,0,12,0.0,1
8,24,0,0,24,20,206,214,0,3,6297,14,15,0,8,0.0,5
6,23,0,0,7,83,306,235,0,3,13727,12,11,0,8,0.0,1
6,20,0,0,7,56,257,257,0,3,10197,10,9,0,7,0.0,4
4,9,0,0,7,150,213,40,0,1,5177,2,1,0,1,4.82,8
1,2,0,0,25,18,143,143,1,3,14641,4,3,0,13,0.0,4
3,29,0,0,14,41,314,42,0,3,6442,11,12,0,5,0.0,4
1,6,0,0,6,115,316,214,0,3,5704,0,0,0,0,0.0,1
4,29,0,0,7,140,61,239,0,3,14714,11,12,0,5,0.0,4
4,9,0,0,7,56,257,257,0,1,5406,2,1,0,1,4.82,8
4,31,0,0,4,122,224,79,1,3,14237,13,16,0,8,0.0,4
4,23,0,0,7,27,73,106,0,1,12373,12,11,0,8,0.0,1
1,29,0,0,7,75,275,226,0,3,8372,11,12,0,5,0.0,4
4,1,0,0,7,82,59,49,0,3,17024,5,4,0,12,0.0,1
4,3,0,0,7,25,301,32,0,1,14053,3,4,0,1,0.0,1
4,27,0,0,19,14,54,118,1,1,10368,9,8,0,8,3.07,6
1,36,0,0,15,77,199,93,1,3,8839,11,11,0,3,4.83,3
1,1,0,0,11,148,280,105,1,3,22096,5,4,0,12,0.0,1
6,22,0,0,7,40,257,5,0,3,9627,13,14,0,13,0.0,4
6,6,0,0,7,64,35,55,0,3,13542,0,0,0,0,0.0,1
3,1,0,0,15,8,308,67,1,3,8899,5,4,0,12,0.0,1
8,15,0,0,24,20,206,214,0,3,5583,9,8,0,5,0.0,1
0,26,0,0,6,103,103,41,0,3,6752,9,7,0,2,0.0,7
4,26,0,0,7,46,230,159,0,1,12898,9,7,0,2,0.0,7
4,26,0,0,7,83,257,212,0,1,12898,9,7,0,2,0.0,7
1,16,0,0,9,11,160,173,3,3,5201,7,7,0,3,0.0,1
1,32,0,0,6,114,316,215,0,3,7384,12,14,0,8,0.0,0
4,29,0,0,7,120,61,1,0,1,10262,11,12,0,5,0.0,4
1,2,0,0,7,36,275,13,0,3,15284,4,3,0,13,0.0,4
4,35,0,0,7,140,228,63,0,1,10262,13,15,0,1,0.0,7
3,16,0,0,14,33,210,207,0,3,5073,7,7,0,3,0.0,1
4,1,0,0,7,55,59,83,0,3,19828,5,4,0,12,0.0,1
1,3,0,0,0,9,286,193,1,3,10598,3,4,0,1,0.0,1
9,20,0,0,9,90,249,197,3,3,6216,10,9,0,7,0.0,4
6,32,0,0,7,118,22,239,0,3,7408,12,14,0,8,0.0,0
4,14,0,0,9,62,240,198,3,1,5443,12,13,0,12,0.0,0
6,27,0,0,7,75,11,27,0,3,7723,9,8,0,8,3.07,6
6,2,0,0,7,32,252,14,0,3,15411,4,3,0,13,0.0,4
8,11,0,0,6,117,315,211,0,3,4957,6,6,0,7,0.0,4
3,26,0,0,14,10,210,244,0,3,6600,9,7,0,2,0.0,7
1,27,0,0,8,25,138,137,1,3,15481,9,8,0,8,3.07,6
4,32,0,0,7,36,257,12,0,3,14714,12,14,0,8,0.0,0
2,32,0,0,7,59,300,257,0,3,4959,12,14,0,8,0.0,0
1,22,0,0,9,119,307,200,3,3,6094,13,14,0,13,0.0,4
6,23,0,0,7,19,257,34,0,3,9794,12,11,0,8,0.0,1
3,32,0,0,14,41,245,240,0,3,6442,12,14,0,8,0.0,0
4,20,0,0,0,152,69,168,1,3,16704,10,9,0,7,0.0,4
4,27,0,0,19,52,214,154,1,1,10368,9,8,0,8,3.07,6
1,11,0,0,24,137,183,30,0,3,5117,6,6,0,7,0.0,4
6,23,0,0,7,66,275,240,0,3,9211,12,11,0,8,0.0,1
6,26,0,0,7,32,275,18,0,3,10786,9,7,0,2,0.0,7
4,27,0,0,25,89,54,41,1,3,13376,9,8,0,8,3.07,6
4,20,0,0,7,3,68,146,0,1,12373,10,9,0,7,0.0,4
1,6,0,0,7,151,292,94,0,3,6745,0,0,0,0,0.0,1
4,32,0,0,7,150,268,93,0,1,10262,12,14,0,8,0.0,0
4,8,0,0,7,112,84,10,0,1,6540,3,4,0,7,0.0,5
4,20,0,0,7,147,266,104,0,3,15554,10,9,0,7,0.0,4
4,8,0,0,7,152,303,98,0,1,7438,3,4,0,7,0.0,5
6,18,0,0,7,126,12,229,0,3,9424,1,5,0,4,0.2,10
3,2,0,0,14,86,312,245,0,3,7451,4,3,0,13,0.0,4
4,6,0,0,7,130,256,128,0,1,5406,0,0,0,0,0.0,1
4,26,0,0,7,140,274,119,0,1,12898,9,7,0,2,0.0,7
4,24,0,0,19,129,76,255,1,1,13029,14,15,0,8,0.0,5
1,8,0,0,13,144,297,110,1,3,8665,3,4,0,7,0.0,5
3,2,0,0,7,39,306,28,0,3,14871,4,3,0,13,0.0,4
4,26,0,0,7,128,230,74,0,1,12898,9,7,0,2,0.0,7
6,22,0,0,7,36,275,13,0,3,14533,13,14,0,13,0.0,4
4,12,0,0,7,112,221,92,0,3,11822,8,7,0,7,0.0,4
4,8,0,0,7,147,84,230,0,1,6017,3,4,0,7,0.0,5
4,30,0,0,7,64,257,239,0,3,14714,13,15,0,13,0.11,6
1,1,0,0,0,102,280,151,1,3,14221,5,4,0,12,0.0,1
4,28,0,0,7,130,58,252,0,1,10262,10,11,0,7,0.0,5
6,24,0,0,7,26,306,44,0,3,7888,14,15,0,8,0.0,5
1,6,0,0,0,130,292,123,1,3,8236,0,0,0,0,0.0,1
1,29,0,0,29,78,281,171,1,3,12961,11,12,0,5,0.0,4
4,32,0,0,16,14,257,38,1,3,13292,12,14,0,8,0.0,0
4,23,0,0,7,27,257,20,0,3,15554,12,11,0,8,0.0,1
3,22,0,0,6,107,311,213,0,3,6027,13,14,0,13,0.0,4
4,27,0,0,25,89,54,41,1,3,13376,9,8,0,8,3.07,6
2,31,0,0,1,31,238,225,0,3,5842,13,16,0,8,0.0,4
6,27,0,0,7,40,275,8,0,3,8937,9,8,0,8,3.07,6
6,36,0,0,14,91,314,240,0,1,6093,11,11,0,3,4.83,3
3,26,0,0,14,33,245,251,0,3,7514,9,7,0,2,0.0,7
6,12,0,0,7,106,18,250,0,3,6838,8,7,0,7,0.0,4
6,32,0,0,7,73,22,29,0,3,6795,12,14,0,8,0.0,0
4,26,0,0,2,131,85,249,1,3,16263,9,7,0,2,0.0,7
4,18,0,0,0,152,56,168,1,3,16704,1,5,0,4,0.2,10
6,6,0,0,7,32,275,18,0,3,9100,0,0,0,0,0.0,1
3,27,0,0,7,32,306,38,0,3,6416,9,8,0,8,3.07,6
4,8,0,0,0,127,303,134,1,3,10976,3,4,0,7,0.0,5
3,9,0,0,14,33,210,207,0,3,5073,2,1,0,1,4.82,8
7,6,0,0,7,32,275,18,0,3,10161,0,0,0,0,0.0,1
4,6,0,0,29,121,256,133,1,3,12604,0,0,0,0,0.0,1
6,32,0,0,7,32,257,15,0,3,10877,12,14,0,8,0.0,0
4,11,0,0,7,36,257,12,0,1,5406,6,6,0,7,0.0,4
3,22,0,0,24,1,136,216,0,3,8618,13,14,0,13,0.0,4
2,27,0,0,7,87,300,213,0,3,10651,9,8,0,8,3.07,6
4,6,0,0,7,120,75,1,0,1,5963,0,0,0,0,0.0,1
4,31,0,0,19,52,224,154,1,1,10368,13,16,0,8,0.0,4
6,24,0,0,7,73,306,246,0,3,7485,14,15,0,8,0.0,5
1,26,0,0,6,53,316,35,0,3,8907,9,7,0,2,0.0,7
4,27,0,0,16,143,214,57,1,3,13292,9,8,0,8,3.07,6
4,31,0,0,5,14,212,244,1,3,14441,13,16,0,8,0.0,4
3,2,0,0,7,32,242,245,0,3,14871,4,3,0,13,0.0,4
3,22,0,0,7,59,23,54,0,3,6979,13,14,0,13,0.0,4
3,27,0,0,7,48,11,66,0,3,7048,9,8,0,8,3.07,6
3,26,0,0,7,99,306,212,0,3,5054,9,7,0,2,0.0,7
1,27,0,0,7,141,276,113,0,3,8582,9,8,0,8,3.07,6
0,30,0,0,6,35,237,217,0,3,8759,13,15,0,13,0.11,6
3,17,0,0,14,33,245,251,0,3,6442,10,9,0,1,0.0,0
1,23,0,0,7,5,275,60,0,3,8879,12,11,0,8,0.0,1
4,28,0,0,19,14,257,38,1,1,10368,10,11,0,7,0.0,5
3,1,0,0,7,7,207,232,0,3,14871,5,4,0,12,0.0,1
6,35,0,0,7,57,257,252,0,1,10791,13,15,0,1,0.0,7
4,24,0,0,0,127,270,127,1,3,15129,14,15,0,8,0.0,5
4,19,0,0,7,75,63,60,0,3,15554,9,10,0,7,0.0,1
6,1,0,0,7,106,32,251,0,3,17073,5,4,0,12,0.0,1
6,30,0,0,7,66,19,41,0,3,6795,13,15,0,13,0.11,6
9,16,0,0,9,90,249,197,3,3,6216,7,7,0,3,0.0,1
6,6,0,0,7,47,252,264,0,3,13069,0,0,0,0,0.0,1
4,35,0,0,21,67,79,69,1,3,13357,13,15,0,1,0.0,7
3,27,0,0,14,100,314,227,0,3,6938,9,8,0,8,3.07,6
4,36,0,0,16,51,229,156,1,3,13292,11,11,0,3,4.83,3
6,6,0,0,7,23,252,23,0,3,13568,0,0,0,0,0.0,1
6,2,0,0,7,66,275,240,0,3,15353,4,3,0,13,0.0,4
2,20,0,0,7,87,300,213,0,3,10188,10,9,0,7,0.0,4
4,23,0,0,0,79,269,169,1,3,16704,12,11,0,8,0.0,1
6,26,0,0,7,75,30,27,0,1,6943,9,7,0,2,0.0,7
6,27,0,0,7,23,275,28,0,3,8937,9,8,0,8,3.07,6
1,1,0,0,15,27,182,148,1,3,9400,5,4,0,12,0.0,1
6,2,0,0,15,76,308,247,1,3,10759,4,3,0,13,0.0,4
6,24,0,0,7,26,257,22,0,3,10197,14,15,0,8,0.0,5
6,23,0,0,7,56,306,12,0,1,9275,12,11,0,8,0.0,1
4,23,0,0,25,89,73,41,1,1,13848,12,11,0,8,0.0,1
3,22,0,0,14,86,314,246,0,3,6412,13,14,0,13,0.0,4
6,6,0,0,7,75,35,28,0,3,13542,0,0,0,0,0.0,1
4,20,0,0,19,129,223,78,1,1,13029,10,9,0,7,0.0,4
4,20,0,0,0,152,69,168,1,3,15129,10,9,0,7,0.0,4
4,30,0,0,19,129,66,255,1,1,10368,13,15,0,13,0.11,6
1,1,0,0,9,119,307,200,3,3,8666,5,4,0,12,0.0,1
4,23,0,0,7,56,257,257,0,3,15554,12,11,0,8,0.0,1
6,36,0,0,7,19,275,35,0,1,7268,11,11,0,3,4.83,3
6,20,0,0,7,40,257,5,0,3,9627,10,9,0,7,0.0,4
6,20,0,0,7,63,257,240,0,3,9103,10,9,0,7,0.0,4
6,12,0,0,7,36,257,12,0,3,11142,8,7,0,7,0.0,4
6,29,0,0,14,53,245,228,0,3,9646,11,12,0,5,0.0,4
4,23,0,0,7,150,269,93,0,3,15554,12,11,0,8,0.0,1
4,36,0,0,7,27,257,20,0,1,10262,11,11,0,3,4.83,3
4,32,0,0,7,83,257,212,0,1,10262,12,14,0,8,0.0,0
4,36,0,0,7,99,273,156,0,1,10262,11,11,0,3,4.83,3
6,6,0,0,7,46,275,2,0,3,13378,0,0,0,0,0.0,1
4,32,0,0,21,67,225,137,1,3,13882,12,14,0,8,0.0,0
0,26,0,0,6,35,237,217,0,3,6451,9,7,0,2,0.0,7
3,20,0,0,7,124,20,233,0,3,8542,10,9,0,7,0.0,4
6,32,0,0,7,75,275,226,0,3,16108,12,14,0,8,0.0,0
3,17,0,0,9,15,175,198,3,3,6015,10,9,0,1,0.0,0
6,36,0,0,7,8,275,47,0,3,7155,11,11,0,3,4.83,3
